_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
pcQD6PFyJyKSadC7j,NMhenyDTtGKvYjpFv,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJqnM8LosAZD3nbDz,MrvBCroGwu5buvkeJ,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bSX8uJGicYBCeYY6k,kg9NsTeAcsDCcQCo5,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qgjFvEnkTLRHoWyEd,EqHnHwyrZ8evwf7gC,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBHf4uG3e3SQK8udL,XNvj9Xwh9s3bPPuZ9,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n69fNBeHhmagBGSQu,kg7H2kMSJKuwcw2WD,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJaKbbMyNoePaE47q,y7RhkK5oyDZ2P55hS,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qjYJqG7YngSoqkKrM,6mXkQRmcFP7z2hc7F,{},Bob,2019-10-17T23:51:25Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:25Z,republican,republican.png,HnHm9qGNhQiJvA9ir,"31,46,51,55,61",2019-10-18T23:16:52.988Z,31,2019-10-18T23:17:01.078Z,46,2019-10-18T23:17:16.977Z,51,2019-10-18T23:17:26.977Z,55,2019-10-18T23:17:33.984Z,61,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vxXXsn3j7GZMbgPYo,vgf6ARaL4GoNLmQKn,{},Bob,2019-10-17T23:51:25Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:25Z,republican,republican.png,8f5bHGL3Gkcgj3NW8,"58,58,58,58,58",2019-10-18T15:38:28.476Z,58,2019-10-18T15:38:47.677Z,58,2019-10-18T15:39:03.768Z,58,2019-10-18T15:39:15.976Z,58,2019-10-18T15:39:22.885Z,58,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcsJMwBLtnaQXNaKZ,T3H3P9pLwrLirSNsy,{},Bob,2019-10-17T23:51:25Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:25Z,republican,republican.png,NmNsafJCsEYa66GAt,"82,82,82,82,82",2019-10-18T20:48:06.170Z,82,2019-10-18T20:48:20.177Z,82,2019-10-18T20:48:37.593Z,82,2019-10-18T20:48:47.175Z,82,2019-10-18T20:49:01.595Z,82,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sGsLAnR3JpFttTyru,yQb5ZDxawNtgDyzar,{},Bob,2019-10-17T23:51:25Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELxfx6XcGgqG2vFtr,dGhhWus22iTyARoNL,{},Bob,2019-10-17T23:51:25Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
